linkage_id	entity_type	source_key	display_name	strain_or_isolate	accession	accession_database	assembly_level	sequence_status	linkage_status	confidence	local_path	notes
sofy2021_phage_kpp5	phage	Sofy2021_KPP5	KPP-5	KPP-5	MW600722.1	GenBank	complete_genome	available	exact	medium	data/curation/downloads/phages/KPP-5_KPP-5_MW600722.1.fasta	Resolved from comparative-genomics source noting KPP-5 GenBank id MW600722.1; verify directly against NCBI before final release.
latka2021_phage_kps8	phage	Latka2021_K23Klebsiella	KpS8	KpS8	MT178275	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/KpS8_KpS8_MT178275.fasta	Primary article PDF states KpS8 was deposited under accession MT178275.
latka2021_phage_seu621	phage	Latka2021_K23Klebsiella	vB_KpnM_Seu621	vB_KpnM_Seu621	MT939253	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/vB_KpnM_Seu621_vB_KpnM_Seu621_MT939253.fasta	Primary article PDF states vB_KpnM_Seu621 was deposited under accession MT939253.
latka2021_phage_dlv622	phage	Latka2021_K23Klebsiella	vB_KpnP_Dlv622	vB_KpnP_Dlv622	MT939252	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/vB_KpnP_Dlv622_vB_KpnP_Dlv622_MT939252.fasta	Primary article PDF states vB_KpnP_Dlv622 was deposited under accession MT939252.
wintachai2022_phage_vabwu2101	phage	Wintachai2022_vABWU2101	vABWU2101	vABWU2101	OK546191.1	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/vABWU2101_vABWU2101_OK546191.1.fasta	Primary article states vABWU2101 complete genome sequence was deposited under GenBank accession OK546191.1.
wintachai2024_phage_vecpw8	phage	Wintachai2024_vECPW8	vECPW8	vECPW8	PQ362703	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/vECPW8_vECPW8_PQ362703.fasta	Primary article states vECPW8 genome sequence was deposited under GenBank accession PQ362703.
mirzaei2015_phage_su10	phage	MirzaeiNilsson2015_EOP	SU10	SU10	KM044272	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/SU10_SU10_KM044272.fasta	Phage vB_EcoP_SU10 complete genome; RefSeq alternate NC_027395.1.
mirzaei2015_phage_su16	phage	MirzaeiNilsson2015_EOP	SU16	SU16		unknown	unknown	needs_lookup	needs_lookup	medium		Broad-host-range phage from Mirzaei/Nilsson source; accession lookup required.
mirzaei2015_phage_su27	phage	MirzaeiNilsson2015_EOP	SU27	SU27		unknown	unknown	needs_lookup	needs_lookup	medium		Broad-host-range phage from Mirzaei/Nilsson source; accession lookup required.
mirzaei2015_phage_su32	phage	MirzaeiNilsson2015_EOP	SU32	SU32		unknown	unknown	needs_lookup	needs_lookup	medium		Broad-host-range phage from Mirzaei/Nilsson source; accession lookup required.
mirzaei2015_phage_su57	phage	MirzaeiNilsson2015_EOP	SU57	SU57	MT511058	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/SU57_SU57_MT511058.fasta	Escherichia phage vB_EcoD_SU57 complete genome.
mirzaei2015_phage_su63	phage	MirzaeiNilsson2015_EOP	SU63	SU63		unknown	unknown	needs_lookup	needs_lookup	medium		Broad-host-range phage from Mirzaei/Nilsson source; accession lookup required.
singh2025_phage_kskp	phage	Singh2025_KpCocktail	KSKp	KSKp	PQ306550	GenBank	complete_genome	available	exact	high	data/curation/downloads/phages/KSKp_KSKp_PQ306550.fasta	Klebsiella phage KSKp complete genome.
proxy_ecoli_mirzaei2015	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	*	NC_000913.3	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Escherichia_coli___NC_000913.3.fasta	Hybrid-mode proxy: E. coli K-12 MG1655 reference for ECOR/ESBL panel rows lacking exact assembly links.
proxy_salmonella_mirzaei2015	bacterium	MirzaeiNilsson2015_EOP	Salmonella enterica	*	NC_003197.2	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Salmonella_enterica___NC_003197.2.fasta	Hybrid-mode proxy: Salmonella enterica serovar Typhimurium LT2 reference for SARA/SARB panel rows lacking exact assembly links.
proxy_klebsiella_sofy2021	bacterium	Sofy2021_KPP5	Klebsiella pneumoniae	*	NC_016845.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Klebsiella_pneumoniae___NC_016845.1.fasta	Hybrid-mode proxy: K. pneumoniae HS11286 reference for KPP-5 host panel rows lacking exact assembly links.
proxy_ecoli_sofy2021	bacterium	Sofy2021_KPP5	Escherichia coli	*	NC_000913.3	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Escherichia_coli___NC_000913.3.fasta	Hybrid-mode proxy: E. coli K-12 MG1655 reference for nonhost controls.
proxy_salmonella_sofy2021	bacterium	Sofy2021_KPP5	Salmonella enterica	*	NC_003197.2	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Salmonella_enterica___NC_003197.2.fasta	Hybrid-mode proxy: S. Typhimurium LT2 reference for nonhost controls.
proxy_paeruginosa_sofy2021	bacterium	Sofy2021_KPP5	Pseudomonas aeruginosa	*	NC_002516.2	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Pseudomonas_aeruginosa___NC_002516.2.fasta	Hybrid-mode proxy: P. aeruginosa PAO1 reference for nonhost controls.
proxy_klebsiella_latka2021	bacterium	Latka2021_K23Klebsiella	Klebsiella pneumoniae	*	NC_016845.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Klebsiella_pneumoniae___NC_016845.1.fasta	Hybrid-mode proxy: K. pneumoniae HS11286 reference for K23 panel rows lacking exact assembly links.
proxy_klebsiella_singh2025	bacterium	Singh2025_KpCocktail	Klebsiella pneumoniae	*	NC_016845.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Klebsiella_pneumoniae___NC_016845.1.fasta	Hybrid-mode proxy: K. pneumoniae HS11286 reference for MDR clinical isolate rows lacking exact assembly links.
proxy_salmonella_abdelhadi2021	bacterium	Abdelhadi2021_STM2	Salmonella enterica	*	NC_003197.2	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Salmonella_enterica___NC_003197.2.fasta	Hybrid-mode proxy: S. Typhimurium LT2 reference for Salmonella panel rows lacking exact assembly links.
proxy_paeruginosa_abdelhadi2021	bacterium	Abdelhadi2021_STM2	Pseudomonas aeruginosa	*	NC_002516.2	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Pseudomonas_aeruginosa___NC_002516.2.fasta	Hybrid-mode proxy: P. aeruginosa PAO1 reference for non-Salmonella controls.
proxy_saureus_abdelhadi2021	bacterium	Abdelhadi2021_STM2	Staphylococcus aureus	*	NC_007795.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Staphylococcus_aureus___NC_007795.1.fasta	Hybrid-mode proxy: S. aureus NCTC 8325 reference for non-Salmonella controls.
proxy_ecoli_abdelhadi2021	bacterium	Abdelhadi2021_STM2	Escherichia coli	*	NC_000913.3	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Escherichia_coli___NC_000913.3.fasta	Hybrid-mode proxy: E. coli K-12 MG1655 reference for non-Salmonella controls.
proxy_klebsiella_abdelhadi2021	bacterium	Abdelhadi2021_STM2	Klebsiella pneumoniae	*	NC_016845.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Klebsiella_pneumoniae___NC_016845.1.fasta	Hybrid-mode proxy: K. pneumoniae HS11286 reference for non-Salmonella control.
proxy_abaumannii_wintachai2022	bacterium	Wintachai2022_vABWU2101	Acinetobacter baumannii	*	NC_009085.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Acinetobacter_baumannii___NC_009085.1.fasta	Hybrid-mode proxy: A. baumannii ATCC 17978 reference for ABPW panel rows lacking exact assembly links.
proxy_klebsiella_wintachai2022	bacterium	Wintachai2022_vABWU2101	Klebsiella pneumoniae	*	NC_016845.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Klebsiella_pneumoniae___NC_016845.1.fasta	Hybrid-mode proxy: K. pneumoniae HS11286 reference for control row.
proxy_saureus_wintachai2022	bacterium	Wintachai2022_vABWU2101	Staphylococcus aureus	*	NC_007795.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Staphylococcus_aureus___NC_007795.1.fasta	Hybrid-mode proxy: S. aureus NCTC 8325 reference for control row.
proxy_ecoli_wintachai2024	bacterium	Wintachai2024_vECPW8	Escherichia coli	*	NC_000913.3	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Escherichia_coli___NC_000913.3.fasta	Hybrid-mode proxy: E. coli K-12 MG1655 reference for MDR APEC panel rows lacking exact assembly links.
proxy_klebsiella_kim2022	bacterium	Kim2022_KP1_KP12	Klebsiella pneumoniae	*	NC_016845.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Klebsiella_pneumoniae___NC_016845.1.fasta	Hybrid-mode proxy: K. pneumoniae HS11286 reference for ESBL K. pneumoniae rows lacking exact assembly links.
proxy_abaumannii_kim2022	bacterium	Kim2022_KP1_KP12	Acinetobacter baumannii	*	NC_009085.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Acinetobacter_baumannii___NC_009085.1.fasta	Hybrid-mode proxy: A. baumannii ATCC 17978 reference for nonhost control.
proxy_cfreundii_kim2022	bacterium	Kim2022_KP1_KP12	Citrobacter freundii	*	NZ_CP007557.1	RefSeq	complete_genome	available	reference_proxy	low	data/curation/downloads/bacteria/Citrobacter_freundii___NZ_CP007557.1.fasta	Hybrid-mode proxy: Citrobacter freundii reference; verify suitability before model release.
proxy_csakazakii_kim2022	bacterium	Kim2022_KP1_KP12	Cronobacter sakazakii	*	NC_009778.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Cronobacter_sakazakii___NC_009778.1.fasta	Hybrid-mode proxy: Cronobacter sakazakii ATCC BAA-894 reference for nonhost control.
proxy_ecoli_kim2022	bacterium	Kim2022_KP1_KP12	Escherichia coli	*	NC_000913.3	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Escherichia_coli___NC_000913.3.fasta	Hybrid-mode proxy: E. coli K-12 MG1655 reference for nonhost controls.
proxy_pmirabilis_kim2022	bacterium	Kim2022_KP1_KP12	Proteus mirabilis	*	NC_010554.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Proteus_mirabilis___NC_010554.1.fasta	Hybrid-mode proxy: P. mirabilis HI4320 reference for nonhost control.
proxy_paeruginosa_kim2022	bacterium	Kim2022_KP1_KP12	Pseudomonas aeruginosa	*	NC_002516.2	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Pseudomonas_aeruginosa___NC_002516.2.fasta	Hybrid-mode proxy: P. aeruginosa PAO1 reference for nonhost control.
proxy_salmonella_kim2022	bacterium	Kim2022_KP1_KP12	Salmonella enterica	*	NC_003197.2	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Salmonella_enterica___NC_003197.2.fasta	Hybrid-mode proxy: S. Typhimurium LT2 reference for nonhost controls.
proxy_klebsiella_ciacci2018	bacterium	Ciacci2018_vB_Kpn_F48	Klebsiella pneumoniae	*	NC_016845.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Klebsiella_pneumoniae___NC_016845.1.fasta	Hybrid-mode proxy: K. pneumoniae HS11286 reference for ST101 panel rows lacking exact assembly links.
proxy_klebsiella_peng2025	bacterium	Peng2025_vB_Kp_XP4	Klebsiella pneumoniae	*	NC_016845.1	RefSeq	complete_genome	available	reference_proxy	medium	data/curation/downloads/bacteria/Klebsiella_pneumoniae___NC_016845.1.fasta	Hybrid-mode proxy: K. pneumoniae HS11286 reference for XP4 panel rows lacking exact assembly links.
host_assembly_mirzaeinilsson2015_eop_ecor_10	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_10	GCA_014451455.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_10_GCA_014451455.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-10 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_13	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_13	GCA_014464895.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_13_GCA_014464895.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-13 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_15	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_15	GCA_014464795.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_15_GCA_014464795.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-15 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_16	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_16	GCA_014464835.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_16_GCA_014464835.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-16 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_19	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_19	GCA_014464755.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_19_GCA_014464755.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-19 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_20	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_20	GCA_014463485.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_20_GCA_014463485.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-20 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_21	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_21	GCA_014463305.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_21_GCA_014463305.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-21 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_22	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_22	GCA_012531625.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_22_GCA_012531625.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-22 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_23	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_23	GCA_012531595.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_23_GCA_012531595.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-23 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_24	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_24	GCA_014462765.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_24_GCA_014462765.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-24 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_26	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_26	GCA_014463375.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_26_GCA_014463375.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-26 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_27	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_27	GCA_014462845.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_27_GCA_014462845.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-27 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_29	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_29	GCA_014464655.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_29_GCA_014464655.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-29 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_30	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_30	GCA_012531535.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_30_GCA_012531535.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-30 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_32	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_32	GCA_012531515.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_32_GCA_012531515.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-32 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_33	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_33	GCA_012531475.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_33_GCA_012531475.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-33 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_34	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_34	GCA_012531495.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_34_GCA_012531495.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-34 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_35	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_35	GCA_012531375.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_35_GCA_012531375.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-35 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_36	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_36	GCA_012531415.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_36_GCA_012531415.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-36 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_37	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_37	GCA_012531395.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_37_GCA_012531395.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-37 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_38	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_38	GCA_014464715.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_38_GCA_014464715.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-38 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_39	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_39	GCA_014464595.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_39_GCA_014464595.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-39 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_40	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_40	GCA_014464635.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_40_GCA_014464635.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-40 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_41	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_41	GCA_014464555.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_41_GCA_014464555.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-41 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_42	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_42	GCA_014464675.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_42_GCA_014464675.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-42 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_43	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_43	GCA_012531035.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_43_GCA_012531035.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-43 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_46	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_46	GCA_012494605.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_46_GCA_012494605.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-46 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_47	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_47	GCA_012530835.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_47_GCA_012530835.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-47 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_49	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_49	GCA_012529415.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_49_GCA_012529415.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-49 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_50	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_50	GCA_014464515.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_50_GCA_014464515.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-50 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_51	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_51	GCA_012530655.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_51_GCA_012530655.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-51 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_52	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_52	GCA_014464425.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_52_GCA_014464425.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-52 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_53	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_53	GCA_014464495.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_53_GCA_014464495.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-53 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_54	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_54	GCA_014464385.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_54_GCA_014464385.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-54 and full genome representation.
host_assembly_mirzaeinilsson2015_eop_ecor_55	bacterium	MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_55	GCA_012530915.1	GenBank	contig	available	exact	high	data/curation/downloads/bacteria/Escherichia_coli_ECOR_55_GCA_012530915.1.fasta	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-55 and full genome representation.
