record_type	name	accession	local_path	record_count	total_bp	source_url	download_date	notes
phage	JBD67	JX495043.1	data/curation/downloads/phages/JBD67_JBD67_JX495043.1.fasta	1	38232	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=JX495043.1&rettype=fasta&retmode=text	2026-06-08	Exact JBD67 accession from PA14 CRISPR-resistance source context.
bacterium	Streptococcus thermophilus reference proxy	CP025216.1	data/curation/downloads/bacteria/Streptococcus_thermophilus___CP025216.1.fasta	1	1851207	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP025216.1&rettype=fasta&retmode=text	2026-06-08	BIM rows derive from DGCC7710 derivatives; parent DGCC7710 genome accession is used for first-pass linkage.
phage	2972	AY699705.1	data/curation/downloads/phages/2972_2972_AY699705.1.fasta	1	34704	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=AY699705.1&rettype=fasta&retmode=text	2026-06-08	NC_007019.1 is an alternate RefSeq accession for the same phage genome context.
phage	vB_Kpn_F48	MG746602	data/curation/downloads/phages/vB_Kpn_F48_vB_Kpn_F48_MG746602.fasta	1	170764	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=MG746602&rettype=fasta&retmode=text	2026-06-08	Primary article states vB_Kpn_F48 nucleotide sequence was deposited under GenBank accession MG746602.
phage	vB_Kp_XP4	PP663283	data/curation/downloads/phages/vB_Kp_XP4_vB_Kp_XP4_PP663283.fasta	1	44344	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=PP663283&rettype=fasta&retmode=text	2026-06-08	Primary article states vB_Kp_XP4 complete nucleotide sequence was submitted under GenBank accession PP663283.
phage	KPP-5	MW600722.1	data/curation/downloads/phages/KPP-5_KPP-5_MW600722.1.fasta	1	38245	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=MW600722.1&rettype=fasta&retmode=text	2026-06-08	Resolved from comparative-genomics source noting KPP-5 GenBank id MW600722.1; verify directly against NCBI before final release.
phage	KpS8	MT178275	data/curation/downloads/phages/KpS8_KpS8_MT178275.fasta	1	143800	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=MT178275&rettype=fasta&retmode=text	2026-06-08	Primary article PDF states KpS8 was deposited under accession MT178275.
phage	vB_KpnM_Seu621	MT939253	data/curation/downloads/phages/vB_KpnM_Seu621_vB_KpnM_Seu621_MT939253.fasta	1	142896	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=MT939253&rettype=fasta&retmode=text	2026-06-08	Primary article PDF states vB_KpnM_Seu621 was deposited under accession MT939253.
phage	vB_KpnP_Dlv622	MT939252	data/curation/downloads/phages/vB_KpnP_Dlv622_vB_KpnP_Dlv622_MT939252.fasta	1	44687	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=MT939252&rettype=fasta&retmode=text	2026-06-08	Primary article PDF states vB_KpnP_Dlv622 was deposited under accession MT939252.
phage	vABWU2101	OK546191.1	data/curation/downloads/phages/vABWU2101_vABWU2101_OK546191.1.fasta	1	41496	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=OK546191.1&rettype=fasta&retmode=text	2026-06-08	Primary article states vABWU2101 complete genome sequence was deposited under GenBank accession OK546191.1.
phage	vECPW8	PQ362703	data/curation/downloads/phages/vECPW8_vECPW8_PQ362703.fasta	1	69357	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=PQ362703&rettype=fasta&retmode=text	2026-06-08	Primary article states vECPW8 genome sequence was deposited under GenBank accession PQ362703.
bacterium	Escherichia coli reference proxy	NC_000913.3	data/curation/downloads/bacteria/Escherichia_coli___NC_000913.3.fasta	1	4641652	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_000913.3&rettype=fasta&retmode=text	2026-06-08	Hybrid-mode proxy: E. coli K-12 MG1655 reference for ECOR/ESBL panel rows lacking exact assembly links.
bacterium	Salmonella enterica reference proxy	NC_003197.2	data/curation/downloads/bacteria/Salmonella_enterica___NC_003197.2.fasta	1	4857450	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_003197.2&rettype=fasta&retmode=text	2026-06-08	Hybrid-mode proxy: Salmonella enterica serovar Typhimurium LT2 reference for SARA/SARB panel rows lacking exact assembly links.
bacterium	Klebsiella pneumoniae reference proxy	NC_016845.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae___NC_016845.1.fasta	1	5333942	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_016845.1&rettype=fasta&retmode=text	2026-06-08	Hybrid-mode proxy: K. pneumoniae HS11286 reference for KPP-5 host panel rows lacking exact assembly links.
bacterium	Pseudomonas aeruginosa reference proxy	NC_002516.2	data/curation/downloads/bacteria/Pseudomonas_aeruginosa___NC_002516.2.fasta	1	6264404	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_002516.2&rettype=fasta&retmode=text	2026-06-08	Hybrid-mode proxy: P. aeruginosa PAO1 reference for nonhost controls.
bacterium	Staphylococcus aureus reference proxy	NC_007795.1	data/curation/downloads/bacteria/Staphylococcus_aureus___NC_007795.1.fasta	1	2821361	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_007795.1&rettype=fasta&retmode=text	2026-06-08	Hybrid-mode proxy: S. aureus NCTC 8325 reference for non-Salmonella controls.
bacterium	Acinetobacter baumannii reference proxy	NC_009085.1	data/curation/downloads/bacteria/Acinetobacter_baumannii___NC_009085.1.fasta	1	3976747	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_009085.1&rettype=fasta&retmode=text	2026-06-08	Hybrid-mode proxy: A. baumannii ATCC 17978 reference for ABPW panel rows lacking exact assembly links.
bacterium	Citrobacter freundii reference proxy	NZ_CP007557.1	data/curation/downloads/bacteria/Citrobacter_freundii___NZ_CP007557.1.fasta	1	5099034	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP007557.1&rettype=fasta&retmode=text	2026-06-08	Hybrid-mode proxy: Citrobacter freundii reference; verify suitability before model release.
bacterium	Cronobacter sakazakii reference proxy	NC_009778.1	data/curation/downloads/bacteria/Cronobacter_sakazakii___NC_009778.1.fasta	1	4368373	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_009778.1&rettype=fasta&retmode=text	2026-06-08	Hybrid-mode proxy: Cronobacter sakazakii ATCC BAA-894 reference for nonhost control.
bacterium	Proteus mirabilis reference proxy	NC_010554.1	data/curation/downloads/bacteria/Proteus_mirabilis___NC_010554.1.fasta	1	4063606	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_010554.1&rettype=fasta&retmode=text	2026-06-08	Hybrid-mode proxy: P. mirabilis HI4320 reference for nonhost control.
phage	SU10	KM044272	data/curation/downloads/phages/SU10_SU10_KM044272.fasta	1	77327	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=KM044272&rettype=fasta&retmode=text	2026-06-08	Phage vB_EcoP_SU10 complete genome; RefSeq alternate NC_027395.1.
phage	SU57	MT511058	data/curation/downloads/phages/SU57_SU57_MT511058.fasta	1	46150	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=MT511058&rettype=fasta&retmode=text	2026-06-08	Escherichia phage vB_EcoD_SU57 complete genome.
phage	KSKp	PQ306550	data/curation/downloads/phages/KSKp_KSKp_PQ306550.fasta	1	167101	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=PQ306550&rettype=fasta&retmode=text	2026-06-08	Klebsiella phage KSKp complete genome.
bacterium	Escherichia coli ECOR_10	GCA_014451455.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_10_GCA_014451455.1.fasta	87	4714883	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/451/455/GCA_014451455.1_PDT000827746.1/GCA_014451455.1_PDT000827746.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-10 and full genome representation.
bacterium	Escherichia coli ECOR_13	GCA_014464895.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_13_GCA_014464895.1.fasta	156	4544201	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/895/GCA_014464895.1_PDT000827749.1/GCA_014464895.1_PDT000827749.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-13 and full genome representation.
bacterium	Escherichia coli ECOR_15	GCA_014464795.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_15_GCA_014464795.1.fasta	113	4898853	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/795/GCA_014464795.1_PDT000827751.1/GCA_014464795.1_PDT000827751.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-15 and full genome representation.
bacterium	Escherichia coli ECOR_16	GCA_014464835.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_16_GCA_014464835.1.fasta	138	4681819	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/835/GCA_014464835.1_PDT000827752.1/GCA_014464835.1_PDT000827752.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-16 and full genome representation.
bacterium	Escherichia coli ECOR_19	GCA_014464755.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_19_GCA_014464755.1.fasta	158	4432234	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/755/GCA_014464755.1_PDT000827755.1/GCA_014464755.1_PDT000827755.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-19 and full genome representation.
bacterium	Escherichia coli ECOR_20	GCA_014463485.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_20_GCA_014463485.1.fasta	150	4578362	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/463/485/GCA_014463485.1_PDT000827756.1/GCA_014463485.1_PDT000827756.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-20 and full genome representation.
bacterium	Escherichia coli ECOR_21	GCA_014463305.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_21_GCA_014463305.1.fasta	167	4510900	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/463/305/GCA_014463305.1_PDT000827757.1/GCA_014463305.1_PDT000827757.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-21 and full genome representation.
bacterium	Escherichia coli ECOR_22	GCA_012531625.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_22_GCA_012531625.1.fasta	99	4534037	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/625/GCA_012531625.1_PDT000619904.1/GCA_012531625.1_PDT000619904.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-22 and full genome representation.
bacterium	Escherichia coli ECOR_23	GCA_012531595.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_23_GCA_012531595.1.fasta	175	5107485	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/595/GCA_012531595.1_PDT000619905.1/GCA_012531595.1_PDT000619905.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-23 and full genome representation.
bacterium	Escherichia coli ECOR_24	GCA_014462765.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_24_GCA_014462765.1.fasta	148	5299023	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/462/765/GCA_014462765.1_PDT000827760.1/GCA_014462765.1_PDT000827760.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-24 and full genome representation.
bacterium	Escherichia coli ECOR_26	GCA_014463375.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_26_GCA_014463375.1.fasta	117	4676601	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/463/375/GCA_014463375.1_PDT000827762.1/GCA_014463375.1_PDT000827762.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-26 and full genome representation.
bacterium	Escherichia coli ECOR_27	GCA_014462845.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_27_GCA_014462845.1.fasta	148	4830744	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/462/845/GCA_014462845.1_PDT000827763.1/GCA_014462845.1_PDT000827763.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-27 and full genome representation.
bacterium	Escherichia coli ECOR_29	GCA_014464655.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_29_GCA_014464655.1.fasta	83	4926941	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/655/GCA_014464655.1_PDT000827765.1/GCA_014464655.1_PDT000827765.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-29 and full genome representation.
bacterium	Escherichia coli ECOR_30	GCA_012531535.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_30_GCA_012531535.1.fasta	129	4871500	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/535/GCA_012531535.1_PDT000619912.1/GCA_012531535.1_PDT000619912.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-30 and full genome representation.
bacterium	Escherichia coli ECOR_32	GCA_012531515.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_32_GCA_012531515.1.fasta	126	5051574	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/515/GCA_012531515.1_PDT000619914.1/GCA_012531515.1_PDT000619914.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-32 and full genome representation.
bacterium	Escherichia coli ECOR_33	GCA_012531475.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_33_GCA_012531475.1.fasta	148	4878922	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/475/GCA_012531475.1_PDT000619915.1/GCA_012531475.1_PDT000619915.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-33 and full genome representation.
bacterium	Escherichia coli ECOR_34	GCA_012531495.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_34_GCA_012531495.1.fasta	166	4916337	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/495/GCA_012531495.1_PDT000619916.1/GCA_012531495.1_PDT000619916.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-34 and full genome representation.
bacterium	Escherichia coli ECOR_35	GCA_012531375.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_35_GCA_012531375.1.fasta	234	5127545	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/375/GCA_012531375.1_PDT000619917.1/GCA_012531375.1_PDT000619917.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-35 and full genome representation.
bacterium	Escherichia coli ECOR_36	GCA_012531415.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_36_GCA_012531415.1.fasta	281	5236238	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/415/GCA_012531415.1_PDT000619918.1/GCA_012531415.1_PDT000619918.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-36 and full genome representation.
bacterium	Escherichia coli ECOR_37	GCA_012531395.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_37_GCA_012531395.1.fasta	365	5555284	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/395/GCA_012531395.1_PDT000619919.1/GCA_012531395.1_PDT000619919.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-37 and full genome representation.
bacterium	Escherichia coli ECOR_38	GCA_014464715.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_38_GCA_014464715.1.fasta	205	5202029	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/715/GCA_014464715.1_PDT000827768.1/GCA_014464715.1_PDT000827768.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-38 and full genome representation.
bacterium	Escherichia coli ECOR_39	GCA_014464595.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_39_GCA_014464595.1.fasta	196	4945055	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/595/GCA_014464595.1_PDT000827769.1/GCA_014464595.1_PDT000827769.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-39 and full genome representation.
bacterium	Escherichia coli ECOR_40	GCA_014464635.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_40_GCA_014464635.1.fasta	266	5146934	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/635/GCA_014464635.1_PDT000827770.1/GCA_014464635.1_PDT000827770.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-40 and full genome representation.
bacterium	Escherichia coli ECOR_41	GCA_014464555.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_41_GCA_014464555.1.fasta	196	5153388	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/555/GCA_014464555.1_PDT000827771.1/GCA_014464555.1_PDT000827771.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-41 and full genome representation.
bacterium	Escherichia coli ECOR_42	GCA_014464675.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_42_GCA_014464675.1.fasta	131	5192438	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/675/GCA_014464675.1_PDT000827772.1/GCA_014464675.1_PDT000827772.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-42 and full genome representation.
bacterium	Escherichia coli ECOR_43	GCA_012531035.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_43_GCA_012531035.1.fasta	228	5245956	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/531/035/GCA_012531035.1_PDT000619925.1/GCA_012531035.1_PDT000619925.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-43 and full genome representation.
bacterium	Escherichia coli ECOR_46	GCA_012494605.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_46_GCA_012494605.1.fasta	145	5240871	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/494/605/GCA_012494605.1_PDT000619928.1/GCA_012494605.1_PDT000619928.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-46 and full genome representation.
bacterium	Escherichia coli ECOR_47	GCA_012530835.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_47_GCA_012530835.1.fasta	106	4952316	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/530/835/GCA_012530835.1_PDT000619929.1/GCA_012530835.1_PDT000619929.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-47 and full genome representation.
bacterium	Escherichia coli ECOR_49	GCA_012529415.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_49_GCA_012529415.1.fasta	263	5196385	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/529/415/GCA_012529415.1_PDT000619930.1/GCA_012529415.1_PDT000619930.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-49 and full genome representation.
bacterium	Escherichia coli ECOR_50	GCA_014464515.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_50_GCA_014464515.1.fasta	275	5328615	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/515/GCA_014464515.1_PDT000827778.1/GCA_014464515.1_PDT000827778.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-50 and full genome representation.
bacterium	Escherichia coli ECOR_51	GCA_012530655.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_51_GCA_012530655.1.fasta	413	5487273	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/530/655/GCA_012530655.1_PDT000619932.1/GCA_012530655.1_PDT000619932.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-51 and full genome representation.
bacterium	Escherichia coli ECOR_52	GCA_014464425.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_52_GCA_014464425.1.fasta	165	5058261	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/425/GCA_014464425.1_PDT000827779.1/GCA_014464425.1_PDT000827779.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-52 and full genome representation.
bacterium	Escherichia coli ECOR_53	GCA_014464495.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_53_GCA_014464495.1.fasta	131	5205753	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/495/GCA_014464495.1_PDT000827780.1/GCA_014464495.1_PDT000827780.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-53 and full genome representation.
bacterium	Escherichia coli ECOR_54	GCA_014464385.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_54_GCA_014464385.1.fasta	140	4879645	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/385/GCA_014464385.1_PDT000827781.1/GCA_014464385.1_PDT000827781.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-54 and full genome representation.
bacterium	Escherichia coli ECOR_55	GCA_012530915.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_55_GCA_012530915.1.fasta	147	5045096	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/530/915/GCA_012530915.1_PDT000619936.1/GCA_012530915.1_PDT000619936.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-55 and full genome representation.
bacterium	Escherichia coli ECOR_56	GCA_012530755.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_56_GCA_012530755.1.fasta	108	5000301	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/530/755/GCA_012530755.1_PDT000619937.1/GCA_012530755.1_PDT000619937.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-56 and full genome representation.
