source_key	bacterium	strain	query	candidate_rank	ncbi_uid	candidate_accession	candidate_title	candidate_length	review_status	notes
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_8	"""Escherichia coli""[Organism] AND ""ECOR 8""[All Fields]"	2	18104405	AF359730	Escherichia coli strain ECOR 8 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_8	"""Escherichia coli""[Organism] AND ""ECOR 8""[All Fields]"	3	21666145	AF359629	Escherichia coli strain ECOR 8 DNA helicase II (uvrD) gene, partial cds	400	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_10	"""Escherichia coli""[Organism] AND ""ECOR 10""[All Fields]"	1	1807591502	NZ_LT985292	Escherichia coli strain ECOR 10 plasmid RCS83_pIII, complete sequence	5912	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_10	"""Escherichia coli""[Organism] AND ""ECOR 10""[All Fields]"	2	1807591501	NZ_LT985291	Escherichia coli strain ECOR 10 plasmid RCS83_pII, complete sequence	2999	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_10	"""Escherichia coli""[Organism] AND ""ECOR 10""[All Fields]"	3	1807591500	NZ_LT985290	Escherichia coli strain ECOR 10 plasmid RCS83_pI, complete sequence	4074	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_13	"""Escherichia coli""[Organism] AND ""ECOR 13""[All Fields]"	1	1898944638	DABRFG000000000	TPA_asm: Escherichia coli strain ECOR-13, whole genome shotgun sequencing project	156	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_13	"""Escherichia coli""[Organism] AND ""ECOR 13""[All Fields]"	2	1832656212	DABAWP000000000	TPA_asm: Escherichia coli strain ECOR-13, whole genome shotgun sequencing project	189	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_13	"""Escherichia coli""[Organism] AND ""ECOR 13""[All Fields]"	3	18104395	AF359725	Escherichia coli strain ECOR 13 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_15	"""Escherichia coli""[Organism] AND ""ECOR 15""[All Fields]"	1	1898944651	DABRFH000000000	TPA_asm: Escherichia coli strain ECOR-15, whole genome shotgun sequencing project	113	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_15	"""Escherichia coli""[Organism] AND ""ECOR 15""[All Fields]"	2	1832655977	DABAWO000000000	TPA_asm: Escherichia coli strain ECOR-15, whole genome shotgun sequencing project	141	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_15	"""Escherichia coli""[Organism] AND ""ECOR 15""[All Fields]"	3	18104393	AF359724	Escherichia coli strain ECOR 15 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_16	"""Escherichia coli""[Organism] AND ""ECOR 16""[All Fields]"	1	1898944636	DABRFF000000000	TPA_asm: Escherichia coli strain ECOR-16, whole genome shotgun sequencing project	138	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_16	"""Escherichia coli""[Organism] AND ""ECOR 16""[All Fields]"	2	1832431780	DABAJD000000000	TPA_asm: Escherichia coli strain ECOR-16, whole genome shotgun sequencing project	133	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_16	"""Escherichia coli""[Organism] AND ""ECOR 16""[All Fields]"	3	18104391	AF359723	Escherichia coli strain ECOR 16 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_19	"""Escherichia coli""[Organism] AND ""ECOR 19""[All Fields]"	1	1797946669	NZ_LT985317	Escherichia coli strain ECOR 19 plasmid RCS81_p, complete sequence	37543	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_19	"""Escherichia coli""[Organism] AND ""ECOR 19""[All Fields]"	2	1898943853	DABRFB000000000	TPA_asm: Escherichia coli strain ECOR-19, whole genome shotgun sequencing project	158	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_19	"""Escherichia coli""[Organism] AND ""ECOR 19""[All Fields]"	3	1832672052	DABAXG000000000	TPA_asm: Escherichia coli strain ECOR-19/A, whole genome shotgun sequencing project	171	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_20	"""Escherichia coli""[Organism] AND ""ECOR 20""[All Fields]"	1	1898943431	DABREX000000000	TPA_asm: Escherichia coli strain ECOR-20, whole genome shotgun sequencing project	150	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_20	"""Escherichia coli""[Organism] AND ""ECOR 20""[All Fields]"	2	1832651354	DABAWG000000000	TPA_asm: Escherichia coli strain ECOR-20, whole genome shotgun sequencing project	163	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_20	"""Escherichia coli""[Organism] AND ""ECOR 20""[All Fields]"	3	18104345	AF359700	Escherichia coli strain ECOR 20 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_21	"""Escherichia coli""[Organism] AND ""ECOR 21""[All Fields]"	1	1898943485	DABREZ000000000	TPA_asm: Escherichia coli strain ECOR-21, whole genome shotgun sequencing project	167	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_21	"""Escherichia coli""[Organism] AND ""ECOR 21""[All Fields]"	2	1832651139	DABAWD000000000	TPA_asm: Escherichia coli strain ECOR-21, whole genome shotgun sequencing project	170	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_21	"""Escherichia coli""[Organism] AND ""ECOR 21""[All Fields]"	3	18104347	AF359701	Escherichia coli strain ECOR 21 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_22	"""Escherichia coli""[Organism] AND ""ECOR 22""[All Fields]"	1	1832651313	DABAWE000000000	TPA_asm: Escherichia coli strain ECOR-22, whole genome shotgun sequencing project	99	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_22	"""Escherichia coli""[Organism] AND ""ECOR 22""[All Fields]"	2	18104387	AF359721	Escherichia coli strain ECOR 22 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_22	"""Escherichia coli""[Organism] AND ""ECOR 22""[All Fields]"	3	21666184	AF359648	Escherichia coli strain ECOR 22 DNA helicase II (uvrD) gene, partial cds	400	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_23	"""Escherichia coli""[Organism] AND ""ECOR 23""[All Fields]"	1	1832651379	DABAWH000000000	TPA_asm: Escherichia coli strain ECOR-23, whole genome shotgun sequencing project	175	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_23	"""Escherichia coli""[Organism] AND ""ECOR 23""[All Fields]"	2	18104299	AF359677	Escherichia coli strain ECOR 23 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_23	"""Escherichia coli""[Organism] AND ""ECOR 23""[All Fields]"	3	21666097	AF359605	Escherichia coli strain ECOR 23 DNA helicase II (uvrD) gene, partial cds	400	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_24	"""Escherichia coli""[Organism] AND ""ECOR 24""[All Fields]"	1	1790932703	NZ_LT985301	Escherichia coli strain ECOR 24 plasmid RCS90_pII, complete sequence	11964	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_24	"""Escherichia coli""[Organism] AND ""ECOR 24""[All Fields]"	2	1790932702	NZ_LT985300	Escherichia coli strain ECOR 24 plasmid RCS90_pI, complete sequence	92968	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_24	"""Escherichia coli""[Organism] AND ""ECOR 24""[All Fields]"	3	1898943488	DABRFA000000000	TPA_asm: Escherichia coli strain ECOR-24, whole genome shotgun sequencing project	148	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_26	"""Escherichia coli""[Organism] AND ""ECOR 26""[All Fields]"	1	1898943484	DABREY000000000	TPA_asm: Escherichia coli strain ECOR-26, whole genome shotgun sequencing project	117	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_26	"""Escherichia coli""[Organism] AND ""ECOR 26""[All Fields]"	2	1832651318	DABAWF000000000	TPA_asm: Escherichia coli strain ECOR-26, whole genome shotgun sequencing project	102	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_26	"""Escherichia coli""[Organism] AND ""ECOR 26""[All Fields]"	3	1444379511	MF993523	Escherichia coli strain EcoR-26 beta-lactamase SHV (blaSHV) gene, partial cds	859	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_27	"""Escherichia coli""[Organism] AND ""ECOR 27""[All Fields]"	1	1898943404	DABREV000000000	TPA_asm: Escherichia coli strain ECOR-27, whole genome shotgun sequencing project	148	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_27	"""Escherichia coli""[Organism] AND ""ECOR 27""[All Fields]"	2	1832650651	DABAVZ000000000	TPA_asm: Escherichia coli strain ECOR-27, whole genome shotgun sequencing project	119	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_27	"""Escherichia coli""[Organism] AND ""ECOR 27""[All Fields]"	3	18104351	AF359703	Escherichia coli strain ECOR 27 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_29	"""Escherichia coli""[Organism] AND ""ECOR 29""[All Fields]"	1	1898943422	DABREW000000000	TPA_asm: Escherichia coli strain ECOR-29, whole genome shotgun sequencing project	83	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_29	"""Escherichia coli""[Organism] AND ""ECOR 29""[All Fields]"	2	1832651081	DABAWB000000000	TPA_asm: Escherichia coli strain ECOR-29, whole genome shotgun sequencing project	110	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_29	"""Escherichia coli""[Organism] AND ""ECOR 29""[All Fields]"	3	18104379	AF359717	Escherichia coli strain ECOR 29 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_30	"""Escherichia coli""[Organism] AND ""ECOR 30""[All Fields]"	1	1790933184	NZ_LT985319	Escherichia coli strain ECOR 30 plasmid RCS96_pII, complete sequence	147478	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_30	"""Escherichia coli""[Organism] AND ""ECOR 30""[All Fields]"	2	1790933183	NZ_LT985318	Escherichia coli strain ECOR 30 plasmid RCS96_p, complete sequence	37454	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_30	"""Escherichia coli""[Organism] AND ""ECOR 30""[All Fields]"	3	1832650442	DABAVX000000000	TPA_asm: Escherichia coli strain ECOR-30, whole genome shotgun sequencing project	129	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_32	"""Escherichia coli""[Organism] AND ""ECOR 32""[All Fields]"	1	1832671885	DABAXB000000000	TPA_asm: Escherichia coli strain ECOR-32/B1, whole genome shotgun sequencing project	125	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_32	"""Escherichia coli""[Organism] AND ""ECOR 32""[All Fields]"	2	1832650389	DABAVV000000000	TPA_asm: Escherichia coli strain ECOR-32, whole genome shotgun sequencing project	126	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_32	"""Escherichia coli""[Organism] AND ""ECOR 32""[All Fields]"	3	18104301	AF359678	Escherichia coli strain ECOR 32 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_33	"""Escherichia coli""[Organism] AND ""ECOR 33""[All Fields]"	1	1832645121	DABAVQ000000000	TPA_asm: Escherichia coli strain ECOR-33, whole genome shotgun sequencing project	148	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_33	"""Escherichia coli""[Organism] AND ""ECOR 33""[All Fields]"	2	18104441	AF359748	Escherichia coli strain ECOR 33 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_33	"""Escherichia coli""[Organism] AND ""ECOR 33""[All Fields]"	3	21666129	AF359621	Escherichia coli strain ECOR 33 DNA helicase II (uvrD) gene, partial cds	400	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_34	"""Escherichia coli""[Organism] AND ""ECOR 34""[All Fields]"	1	1832650390	DABAVW000000000	TPA_asm: Escherichia coli strain ECOR-34, whole genome shotgun sequencing project	166	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_34	"""Escherichia coli""[Organism] AND ""ECOR 34""[All Fields]"	2	18104357	AF359706	Escherichia coli strain ECOR 34 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_34	"""Escherichia coli""[Organism] AND ""ECOR 34""[All Fields]"	3	21666131	AF359622	Escherichia coli strain ECOR 34 DNA helicase II (uvrD) gene, partial cds	400	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_35	"""Escherichia coli""[Organism] AND ""ECOR 35""[All Fields]"	1	1832645560	DABAVS000000000	TPA_asm: Escherichia coli strain ECOR-35, whole genome shotgun sequencing project	234	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_35	"""Escherichia coli""[Organism] AND ""ECOR 35""[All Fields]"	2	18104303	AF359679	Escherichia coli strain ECOR 35 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_35	"""Escherichia coli""[Organism] AND ""ECOR 35""[All Fields]"	3	21666203	AF359657	Escherichia coli strain ECOR 35 DNA helicase II (uvrD) gene, partial cds	400	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_36	"""Escherichia coli""[Organism] AND ""ECOR 36""[All Fields]"	1	1832657455	DABAWZ000000000	TPA_asm: Escherichia coli strain ECOR-36/D, whole genome shotgun sequencing project	303	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_36	"""Escherichia coli""[Organism] AND ""ECOR 36""[All Fields]"	2	1832645867	DABAVR000000000	TPA_asm: Escherichia coli strain ECOR-36, whole genome shotgun sequencing project	281	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_36	"""Escherichia coli""[Organism] AND ""ECOR 36""[All Fields]"	3	18104305	AF359680	Escherichia coli strain ECOR 36 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_37	"""Escherichia coli""[Organism] AND ""ECOR 37""[All Fields]"	1	1797946647	NZ_LT985306	Escherichia coli strain ECOR 37 plasmid RCS88_p, complete sequence	93395	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_37	"""Escherichia coli""[Organism] AND ""ECOR 37""[All Fields]"	2	1832650388	DABAVT000000000	TPA_asm: Escherichia coli strain ECOR-37, whole genome shotgun sequencing project	365	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_37	"""Escherichia coli""[Organism] AND ""ECOR 37""[All Fields]"	3	1360517878	LT985306	Escherichia coli strain ECOR 37 genome assembly, plasmid: RCS88_p	93395	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_38	"""Escherichia coli""[Organism] AND ""ECOR 38""[All Fields]"	1	1898943353	DABREQ000000000	TPA_asm: Escherichia coli strain ECOR-38, whole genome shotgun sequencing project	205	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_38	"""Escherichia coli""[Organism] AND ""ECOR 38""[All Fields]"	2	1832645431	DABAVP000000000	TPA_asm: Escherichia coli strain ECOR-38, whole genome shotgun sequencing project	192	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_38	"""Escherichia coli""[Organism] AND ""ECOR 38""[All Fields]"	3	18104407	AF359731	Escherichia coli strain ECOR 38 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_39	"""Escherichia coli""[Organism] AND ""ECOR 39""[All Fields]"	1	1807591497	NZ_LT985303	Escherichia coli strain ECOR 39 plasmid RCS82_pII, complete sequence	23526	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_39	"""Escherichia coli""[Organism] AND ""ECOR 39""[All Fields]"	2	1807591492	NZ_LT985302	Escherichia coli strain ECOR 39 plasmid RCS82_pI, complete sequence	47789	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_39	"""Escherichia coli""[Organism] AND ""ECOR 39""[All Fields]"	3	1898943351	DABREP000000000	TPA_asm: Escherichia coli strain ECOR-39, whole genome shotgun sequencing project	196	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_40	"""Escherichia coli""[Organism] AND ""ECOR 40""[All Fields]"	1	1898943360	DABRER000000000	TPA_asm: Escherichia coli strain ECOR-40, whole genome shotgun sequencing project	266	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_40	"""Escherichia coli""[Organism] AND ""ECOR 40""[All Fields]"	2	1832645683	DABAVO000000000	TPA_asm: Escherichia coli strain ECOR-40, whole genome shotgun sequencing project	195	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_40	"""Escherichia coli""[Organism] AND ""ECOR 40""[All Fields]"	3	18104413	AF359734	Escherichia coli strain ECOR 40 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_41	"""Escherichia coli""[Organism] AND ""ECOR 41""[All Fields]"	1	1898943333	DABREM000000000	TPA_asm: Escherichia coli strain ECOR-41, whole genome shotgun sequencing project	196	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_41	"""Escherichia coli""[Organism] AND ""ECOR 41""[All Fields]"	2	1832299503	DAAZUH000000000	TPA_asm: Escherichia coli strain ECOR-41, whole genome shotgun sequencing project	199	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_41	"""Escherichia coli""[Organism] AND ""ECOR 41""[All Fields]"	3	1444379515	MF993525	Escherichia coli strain EcoR-41 tetracycline resistance protein TET (tet) gene, partial cds	413	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_42	"""Escherichia coli""[Organism] AND ""ECOR 42""[All Fields]"	1	1898943270	DABREK000000000	TPA_asm: Escherichia coli strain ECOR-42, whole genome shotgun sequencing project	131	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_42	"""Escherichia coli""[Organism] AND ""ECOR 42""[All Fields]"	2	1832643742	DABAVK000000000	TPA_asm: Escherichia coli strain ECOR-42, whole genome shotgun sequencing project	112	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_42	"""Escherichia coli""[Organism] AND ""ECOR 42""[All Fields]"	3	18104361	AF359708	Escherichia coli strain ECOR 42 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_43	"""Escherichia coli""[Organism] AND ""ECOR 43""[All Fields]"	1	1832643446	DABAVJ000000000	TPA_asm: Escherichia coli strain ECOR-43, whole genome shotgun sequencing project	228	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_43	"""Escherichia coli""[Organism] AND ""ECOR 43""[All Fields]"	2	18104363	AF359709	Escherichia coli strain ECOR 43 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_43	"""Escherichia coli""[Organism] AND ""ECOR 43""[All Fields]"	3	21666198	AF359655	Escherichia coli strain ECOR 43 DNA helicase II (uvrD) gene, partial cds	400	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_46	"""Escherichia coli""[Organism] AND ""ECOR 46""[All Fields]"	1	1832423582	DABAEA000000000	TPA_asm: Escherichia coli strain ECOR-46, whole genome shotgun sequencing project	145	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_46	"""Escherichia coli""[Organism] AND ""ECOR 46""[All Fields]"	2	18104367	AF359711	Escherichia coli strain ECOR 46 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_46	"""Escherichia coli""[Organism] AND ""ECOR 46""[All Fields]"	3	21666228	AF359669	Escherichia coli strain ECOR 46 DNA helicase II (uvrD) gene, partial cds	400	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_47	"""Escherichia coli""[Organism] AND ""ECOR 47""[All Fields]"	1	1832644588	DABAVM000000000	TPA_asm: Escherichia coli strain ECOR-47, whole genome shotgun sequencing project	106	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_47	"""Escherichia coli""[Organism] AND ""ECOR 47""[All Fields]"	2	18104427	AF359741	Escherichia coli strain ECOR 47 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_47	"""Escherichia coli""[Organism] AND ""ECOR 47""[All Fields]"	3	21666224	AF359667	Escherichia coli strain ECOR 47 DNA helicase II (uvrD) gene, partial cds	400	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_48	"""Escherichia coli""[Organism] AND ""ECOR 48""[All Fields]"	1	1797946667	NZ_LT985305	Escherichia coli strain ECOR 48 plasmid RCS84_p, complete sequence	83309	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_48	"""Escherichia coli""[Organism] AND ""ECOR 48""[All Fields]"	2	1832657933	DABAWX000000000	TPA_asm: Escherichia coli strain ECOR-48/D, whole genome shotgun sequencing project	142	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_48	"""Escherichia coli""[Organism] AND ""ECOR 48""[All Fields]"	3	1360517783	LT985305	Escherichia coli strain ECOR 48 genome assembly, plasmid: RCS84_p	83309	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_49	"""Escherichia coli""[Organism] AND ""ECOR 49""[All Fields]"	1	1832641597	DABAVF000000000	TPA_asm: Escherichia coli strain ECOR-49, whole genome shotgun sequencing project	263	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_49	"""Escherichia coli""[Organism] AND ""ECOR 49""[All Fields]"	2	18104419	AF359737	Escherichia coli strain ECOR 49 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_49	"""Escherichia coli""[Organism] AND ""ECOR 49""[All Fields]"	3	21666230	AF359670	Escherichia coli strain ECOR 49 DNA helicase II (uvrD) gene, partial cds	400	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_50	"""Escherichia coli""[Organism] AND ""ECOR 50""[All Fields]"	1	1898943335	DABREO000000000	TPA_asm: Escherichia coli strain ECOR-50, whole genome shotgun sequencing project	275	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_50	"""Escherichia coli""[Organism] AND ""ECOR 50""[All Fields]"	2	1832644134	DABAVL000000000	TPA_asm: Escherichia coli strain Ecor-50, whole genome shotgun sequencing project	349	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_50	"""Escherichia coli""[Organism] AND ""ECOR 50""[All Fields]"	3	18104421	AF359738	Escherichia coli strain ECOR 50 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_51	"""Escherichia coli""[Organism] AND ""ECOR 51""[All Fields]"	1	1832642043	DABAVE000000000	TPA_asm: Escherichia coli strain ECOR-51, whole genome shotgun sequencing project	413	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_51	"""Escherichia coli""[Organism] AND ""ECOR 51""[All Fields]"	2	18104307	AF359681	Escherichia coli strain ECOR 51 DNA polymerase I (polA) gene, partial cds	341	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_51	"""Escherichia coli""[Organism] AND ""ECOR 51""[All Fields]"	3	21666101	AF359607	Escherichia coli strain ECOR 51 DNA helicase II (uvrD) gene, partial cds	400	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_52	"""Escherichia coli""[Organism] AND ""ECOR 52""[All Fields]"	1	1898943487	DABREH000000000	TPA_asm: Escherichia coli strain ECOR-52, whole genome shotgun sequencing project	165	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_52	"""Escherichia coli""[Organism] AND ""ECOR 52""[All Fields]"	2	1832641502	DABAVD000000000	TPA_asm: Escherichia coli strain ECOR-52, whole genome shotgun sequencing project	160	needs_review	
MirzaeiNilsson2015_EOP	Escherichia coli	ECOR_52	"""Escherichia coli""[Organism] AND ""ECOR 52""[All Fields]"	3	1832424765	DABAIT000000000	TPA_asm: Escherichia coli strain ECOR-52/B2, whole genome shotgun sequencing project	168	needs_review	
